Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Lotus,Evija,2021,Electric,2000.0,1254,2.8,2800000.0
Lotus,Evija,2022,Electric,1973.0,1254,2.5,2750000.0
Lotus,Evija,2022,Electric,1973.0,1254,2.5,2000000.0
Lotus,Evija,2022,Electric,1973.0,1254,2.5,2600000.0
Lotus,Evija,2021,Electric Motor,1972.0,1254,2.0,2000000.0
Rimac,C_Two,2022,Electric,1914.0,1696,1.9,2400000.0
Rimac,Nevera,2022,Electric,1914.0,1696,1.85,2400000.0
Rimac,C_Two,2021,Electric,1914.0,1732,1.8,2400000.0
Rimac,C_Two,2021,Electric,1914.0,1696,1.9,2400000.0
Rimac,Nevera,2022,Electric,1914.0,1696,1.95,2400000.0
Rimac,Nevera,2021,Electric,1914.0,1696,1.85,2400000.0
Rimac,C_Two,2022,Electric,1914.0,1732,1.85,2400000.0
Rimac,Nevera,2021,Electric,1914.0,1696,1.9,2400000.0
Rimac,Nevera,2021,Electric Motor,1888.0,1696,1.85,2400000.0
Pininfarina,Battista,2022,Electric,1874.0,1696,1.9,2500000.0
Pininfarina,Battista,2021,Electric,1872.0,1696,1.9,2500000.0
Koenigsegg,Jesko,2022,5,1600.0,1106,2.5,3000000.0
Koenigsegg,Jesko Absolut,2022,5,1600.0,1106,2.1,2800000.0
Bugatti,Chiron Super Sport 300+,2022,8,1578.0,1180,2.3,5200000.0
Bugatti,Chiron Super Sport 300+,2021,8,1578.0,1180,2.4,5200000.0
Bugatti,Chiron Pur Sport,2021,8,1500.0,1180,2.3,3599000.0
Bugatti,Chiron,2021,8,1500.0,1180,2.5,3000000.0
Bugatti,Chiron,2021,8,1500.0,"1,180",2.4,3000000.0
Bugatti,Chiron,2022,8,1500.0,1180,2.3,3000000.0
Bugatti,Chiron,2022,8,1500.0,1180,2.5,3900000.0
Bugatti,Chiron,2021,8,1500.0,1180,2.4,3000000.0
Bugatti,Chiron,2021,8,1500.0,1180,2.3,3000000.0
Bugatti,Chiron,2022,8,1500.0,1180,2.4,3000000.0
Bugatti,Chiron,2021,8,1500.0,1180,2.4,2998000.0
Bugatti,Chiron,2021,8,1479.0,1180,2.3,2998000.0
Bugatti,Chiron,2021,8,1479.0,1180,2.4,3000000.0
Bugatti,Chiron,2022,8,1479.0,1180,2.4,2900000.0
Bugatti,Chiron,2021,8,1479.0,1180,2.5,3000000.0
Koenigsegg,Jesko,2022,5,1280.0,1106,2.5,3000000.0
Koenigsegg,Jesko,2022,5,1280.0,1015,2.5,3000000.0
Koenigsegg,Jesko,2022,5,1280.0,1106,2.5,2800000.0
Koenigsegg,Jesko,2022,5,1280.0,1015,2.5,2800000.0
Koenigsegg,Jesko,2021,5,1280.0,1015,2.5,3000000.0
